what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331445436024
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331445446013
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1331445481619
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331445482663
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331445632014
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331445637532
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1331445640670
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.launchShortcut.run",1331445642439
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1331445645651
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1331445648021
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1331445648065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331445665820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331445665950
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331445666005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331445791525
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1331445812390
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1331445812390
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1331445832544
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.launchShortcut.run",1331445835262
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1331445835406
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1331445835469
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1331445862825
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1331445862826
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1331445869029
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1331445869257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331445873350
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1331445873453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331445878547
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331445884112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331445892861
